partnerId,locationId,listingId,link id,override,PL Status
761,8865569,112604727,8865569-112604727,Antimatch,NoPowerListing
761,8865539,112604736,8865539-112604736,Antimatch,NoPowerListing
761,8865697,112604755,8865697-112604755,Antimatch,NoPowerListing
761,8865696,112604755,8865696-112604755,Antimatch,NoPowerListing
761,8865686,112604768,8865686-112604768,Antimatch,NoPowerListing
761,8865563,112604773,8865563-112604773,Antimatch,NoPowerListing
761,8865561,112604774,8865561-112604774,Antimatch,NoPowerListing
761,8865700,112604777,8865700-112604777,Antimatch,NoPowerListing
761,8865604,112604778,8865604-112604778,Antimatch,NoPowerListing
761,8865562,112604779,8865562-112604779,Antimatch,NoPowerListing
761,8865703,112604794,8865703-112604794,Antimatch,NoPowerListing
761,8865541,112604803,8865541-112604803,Antimatch,NoPowerListing
761,8865560,112604838,8865560-112604838,Antimatch,NoPowerListing
761,8865704,112604850,8865704-112604850,Antimatch,NoPowerListing
761,8865570,112604870,8865570-112604870,Antimatch,NoPowerListing
761,8865693,112604871,8865693-112604871,Antimatch,NoPowerListing
761,8865594,112604884,8865594-112604884,Antimatch,NoPowerListing
761,8865690,112604892,8865690-112604892,Antimatch,NoPowerListing
761,8865601,112604906,8865601-112604906,Antimatch,NoPowerListing
761,8865545,112604914,8865545-112604914,Antimatch,NoPowerListing
761,8865573,112604927,8865573-112604927,Antimatch,NoPowerListing
761,9049649,112693217,9049649-112693217,Antimatch,NoPowerListing
761,9049719,112814790,9049719-112814790,Antimatch,NoPowerListing
761,9049757,113032933,9049757-113032933,Antimatch,NoPowerListing
532,9049788,113552963,9049788-113552963,Antimatch,NoPowerListing
550,8865531,113664845,8865531-113664845,Antimatch,NoPowerListing
550,8865504,113687085,8865504-113687085,Antimatch,NoPowerListing
532,9049607,113776057,9049607-113776057,Antimatch,NoPowerListing
532,9050028,114146623,9050028-114146623,Antimatch,NoPowerListing
532,9050068,11433734,9050068-11433734,Antimatch,NoPowerListing
532,8865645,114572511,8865645-114572511,Antimatch,NoPowerListing
532,9050049,114724072,9050049-114724072,Antimatch,NoPowerListing
532,8865685,114983588,8865685-114983588,Antimatch,NoPowerListing
532,8865693,115474826,8865693-115474826,Antimatch,NoPowerListing
433,9049918,11614772,9049918-11614772,Antimatch,NoPowerListing
761,9049902,116186274,9049902-116186274,Antimatch,NoPowerListing
761,9049741,116187097,9049741-116187097,Antimatch,NoPowerListing
532,8865482,116399366,8865482-116399366,Antimatch,NoPowerListing
532,9049801,116469751,9049801-116469751,Antimatch,NoPowerListing
439,9049512,116901230,9049512-116901230,Antimatch,NoPowerListing
532,9050148,117298863,9050148-117298863,Antimatch,NoPowerListing
532,9049879,118979627,9049879-118979627,Antimatch,NoPowerListing
462,8865589,119026160,8865589-119026160,Antimatch,NoPowerListing
439,8865589,119029726,8865589-119029726,Antimatch,NoPowerListing
439,8865589,119029728,8865589-119029728,Antimatch,NoPowerListing
439,8865589,119029730,8865589-119029730,Antimatch,NoPowerListing
761,8865589,119029873,8865589-119029873,Antimatch,NoPowerListing
644,8865589,119029891,8865589-119029891,Antimatch,NoPowerListing
733,8865589,119029948,8865589-119029948,Antimatch,NoPowerListing
720,8865589,119029957,8865589-119029957,Antimatch,NoPowerListing
720,8865589,119029961,8865589-119029961,Antimatch,NoPowerListing
583,8865589,119030033,8865589-119030033,Antimatch,NoPowerListing
692,8865589,119030264,8865589-119030264,Antimatch,NoPowerListing
439,8865567,119030446,8865567-119030446,Antimatch,NoPowerListing
439,8865567,119030448,8865567-119030448,Antimatch,NoPowerListing
661,8865567,119030521,8865567-119030521,Antimatch,NoPowerListing
720,8865567,119030655,8865567-119030655,Antimatch,NoPowerListing
665,8865567,119030694,8865567-119030694,Antimatch,NoPowerListing
583,8865567,119030749,8865567-119030749,Antimatch,NoPowerListing
562,8865567,119030803,8865567-119030803,Antimatch,NoPowerListing
562,8865567,119030804,8865567-119030804,Antimatch,NoPowerListing
439,8865588,119030815,8865588-119030815,Antimatch,NoPowerListing
656,8865588,119030874,8865588-119030874,Antimatch,NoPowerListing
661,8865588,119030899,8865588-119030899,Antimatch,NoPowerListing
690,8865567,119030987,8865567-119030987,Antimatch,NoPowerListing
720,8865588,119031091,8865588-119031091,Antimatch,NoPowerListing
720,8865588,119031094,8865588-119031094,Antimatch,NoPowerListing
720,8865588,119031097,8865588-119031097,Antimatch,NoPowerListing
720,8865588,119031099,8865588-119031099,Antimatch,NoPowerListing
665,8865588,119031139,8865588-119031139,Antimatch,NoPowerListing
433,8865589,119031223,8865589-119031223,Antimatch,NoPowerListing
562,8865588,119031284,8865588-119031284,Antimatch,NoPowerListing
578,8865589,119031342,8865589-119031342,Antimatch,NoPowerListing
550,8865589,119031411,8865589-119031411,Antimatch,NoPowerListing
550,8865589,119031412,8865589-119031412,Antimatch,NoPowerListing
550,8865589,119031413,8865589-119031413,Antimatch,NoPowerListing
697,8865589,119031458,8865589-119031458,Antimatch,NoPowerListing
638,8865589,119031609,8865589-119031609,Antimatch,NoPowerListing
563,8865589,119032037,8865589-119032037,Antimatch,NoPowerListing
483,8865588,119032318,8865588-119032318,Antimatch,NoPowerListing
433,8865567,119032419,8865567-119032419,Antimatch,NoPowerListing
550,8865567,119032439,8865567-119032439,Antimatch,NoPowerListing
550,8865567,119032440,8865567-119032440,Antimatch,NoPowerListing
469,8865589,119032500,8865589-119032500,Antimatch,NoPowerListing
469,8865589,119032501,8865589-119032501,Antimatch,NoPowerListing
550,8865707,119033008,8865707-119033008,Antimatch,NoPowerListing
578,8865588,119033048,8865588-119033048,Antimatch,NoPowerListing
550,8865588,119033058,8865588-119033058,Antimatch,NoPowerListing
550,8865588,119033059,8865588-119033059,Antimatch,NoPowerListing
550,8865588,119033060,8865588-119033060,Antimatch,NoPowerListing
563,8865567,119033177,8865567-119033177,Antimatch,NoPowerListing
638,8865588,119033343,8865588-119033343,Antimatch,NoPowerListing
398,8865589,119033639,8865589-119033639,Antimatch,NoPowerListing
469,8865567,119033668,8865567-119033668,Antimatch,NoPowerListing
563,8865588,119033749,8865588-119033749,Antimatch,NoPowerListing
550,8865588,119034269,8865588-119034269,Antimatch,NoPowerListing
398,8865567,119034497,8865567-119034497,Antimatch,NoPowerListing
578,8865567,119034625,8865567-119034625,Antimatch,NoPowerListing
545,8865589,119036438,8865589-119036438,Antimatch,NoPowerListing
545,8865589,119036439,8865589-119036439,Antimatch,NoPowerListing
545,8865588,119036766,8865588-119036766,Antimatch,NoPowerListing
524,8865589,119037546,8865589-119037546,Antimatch,NoPowerListing
524,8865589,119037547,8865589-119037547,Antimatch,NoPowerListing
524,8865567,119038526,8865567-119038526,Antimatch,NoPowerListing
392,8865589,119040046,8865589-119040046,Antimatch,NoPowerListing
392,8865567,119040150,8865567-119040150,Antimatch,NoPowerListing
662,8865567,119044250,8865567-119044250,Antimatch,NoPowerListing
662,8865567,119044251,8865567-119044251,Antimatch,NoPowerListing
662,8865588,119044409,8865588-119044409,Antimatch,NoPowerListing
662,8865588,119044410,8865588-119044410,Antimatch,NoPowerListing
662,8865588,119044411,8865588-119044411,Antimatch,NoPowerListing
662,8865588,119044412,8865588-119044412,Antimatch,NoPowerListing
505,8865589,119053220,8865589-119053220,Antimatch,NoPowerListing
505,8865589,119053222,8865589-119053222,Antimatch,NoPowerListing
